company_name,stock_code,matched_keyword,source_section,start_position,end_position,candidate_text_path,status,error_message
常州三协电机股份有限公司,920100,主要股东|估值|入股|出资|创投|历史沿革|发行人基本情况|发行人股本情况|合伙企业|增资|投资者|持股比例|股东情况|股份锁定|股权结构|股权转让|认购,1、2022 年股票发行|1、与本次公开发行有关的承诺内容|1、控股股东、实际控制人的认定|1、深圳三协|1、申报前12 个月新增|1、申报前12 个月新增股东情况|2、2023 年股票发行|2、前期公开承诺内容|2、控股股东、实际控制人及其一致行动人的基本情况|3、其他披露情况|3、财务报告审计截止日后主要财务信息|一、本次公开发行股票并在北京证券交易所上市的安排及风险|三、 发行人的|三、本次发行前滚存利润的分配安排|九、关于公司利润分配政策及上市后的三年内股东分红回报规划|二、 发行人及其控股股东、实际控制人的情况|二、本次发行相关各方作出的重要承诺|五、|五、特别风险提示|六、 股权激励等可能导致发行人|六、 股权激励等可能导致发行人股权结构变化的事项|十、 发行人选择的具体上市标准及分析说明|四、本次发行上市后公司的利润分配政策|声 明|常州三协电机股份有限公司招股说明书（申报稿）|目录|第三节 风险因素|第二节 概览|第四节|重大事项提示|（13）关于公司股东不存在相关情形的承诺|（4）关于利润分配政策的承诺函|（6）新增股东是否属于战略|（6）新增股东是否属于战略投资者|（9）无商业贿赂的承诺|（一） 本次发行前后的股本结构情况|（一）发行失败风险|（一）本次公开发行已获得的授权和批准|（三）|（二） 持有发行人 5%以上股份的其他|（二） 持有发行人 5%以上股份的其他主要股东|（二） 本次发行前公司前十名|（二） 直接或间接持有发行人股份的情况|（二）股票价格波动的风险,0,60008,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
常州三协电机股份有限公司,920100,估值|发行人基本情况|投资者|股权转让,3、关联交易决策制度及相关保障措施|五、 境外经营情况|六、 业务活动合规情况|（1）关联方|（7）金融工具公允价值的确定方法|（一）内部控制基本情况|（二）避免同业竞争的承诺,91827,112722,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
常州三协电机股份有限公司,920100,出资|投资者|持股比例,（5）长期股权投资,117829,125134,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
常州三协电机股份有限公司,920100,入股|出资|创投|增资|持股比例|认购|认购价格,1. 无形资产|3. 资本公积|科目具体情况及分析说明：,144717,156785,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
常州三协电机股份有限公司,920100,认购,7. 其他披露事项,186665,192926,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
常州三协电机股份有限公司,920100,投资者|认购,5、财务报告审计截止日后主要经营状况|（二）募集资金管理制度,196327,202954,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
常州三协电机股份有限公司,920100,投资者|持股比例|股权结构,1、|1、投资者沟通渠道的建立情况|2、未来开展|2、未来开展投资者关系管理的基本原则|3、|3、投资者关系管理的管理机构|4、现金分红的比例及时间间隔|5、发放股票股利的条件|一、|一、备查文件|一、投资者关系安排|二、本次发行上市后的股利分配政策和决策程序|五、股东投票机制的建立情况|四、本次发行前滚存利润的分配安排和已履行的决策程序|第十一节|（一）信息披露制度和流程|（二）|（二）中小|（二）中小投资者单独计票机制|（二）利润分配的决策机制与程序|（二）投资者沟通渠道的建立情况及未来开展|（四）征集投票权,206405,218880,outputs\week1_candidate_texts\BSE001_920100_candidate.txt,success,
中科星图测控技术股份有限公司,920116,主要股东|估值|出资|历史沿革|发行人基本情况|发行人股本情况|投资者|持股比例|股东情况|股权结构|股权转让,1、代持基本情况|1、控股股东|1、新增股东|2、代持解除情况|一、本次公开发行股票并在北京证券交易所上市的安排及风险|三、 发行人的|三、 发行人的股权结构|三、本次发行相关的重要承诺和说明|二、本次发行上市后公司的利润分配政策|五、|五、 发行决策及审批情况|五、发行失败风险|六、 股权激励等可能导致发行人|十、 发行人选择的具体上市标准及分析说明|四、特别风险提示|声明|星图测控|目录|第三节 风险因素|第二节 概览|第四节|重大事项提示|（一） 本次发行前后的股本结构情况|（一）申报前 12个月新增|（三）|（三） 主要股东间关联关系的具体情况|（九）同业竞争的风险|（二） 持有发行人 5%以上股份的其他|（二） 持有发行人 5%以上股份的其他主要股东|（二） 本次发行前公司前十名|（二）财务报告审计截止日后的经营状况|（六）同业竞争的风险,0,31116,outputs\week1_candidate_texts\BSE002_920116_candidate.txt,success,
中科星图测控技术股份有限公司,920116,出资|发行人基本情况|员工持股平台|投资者,A．关联销售的内容|六、 业务活动合规情况|（1）社会保险缴纳情况|（一）发行人不存在同业竞争的情况|（二）关于避免同业竞争的承诺及履行情况|（五）董事会秘书制度的建立健全及运行情况,66332,77509,outputs\week1_candidate_texts\BSE002_920116_candidate.txt,success,
中科星图测控技术股份有限公司,920116,估值|出资,②开发阶段支|（5）金融资产和金融负债的公允价值的确定方法,80809,90222,outputs\week1_candidate_texts\BSE002_920116_candidate.txt,success,
中科星图测控技术股份有限公司,920116,入股|出资|增资|每股价格,10、 股东权益总体分析|1、 股本|科目具体情况及分析说明：,104693,113073,outputs\week1_candidate_texts\BSE002_920116_candidate.txt,success,
中科星图测控技术股份有限公司,920116,投资者,5、财务报告审计截止日后主要经营情况|九、 滚存利润披露,139482,145738,outputs\week1_candidate_texts\BSE002_920116_candidate.txt,success,
